R	P	FP	R_stdev	P_stdev	FP_stdev	ClassifierOutput
0.00799365079365079	1	0	1.90476190473766E-05	0	0	26.3169910430908
0.0159873015873016	1	0	3.80952380947533E-05	0	0	24.3330375671387
0.0239809523809524	1	0	5.71428571451656E-05	0	0	24.0515865325928
0.0319746031746032	1	0	7.61904761895065E-05	0	0	23.8841735839844
0.039968253968254	1	0	9.5238095240526E-05	0	0	23.6675445556641
0.0479619047619048	1	0	0.000114285714290331	0	0	23.4935480117798
0.0559555555555556	1	0	0.000133333333332937	0	0	23.376097869873
0.0639492063492064	1	0	0.000152380952379013	0	0	23.309189414978
0.0719428571428571	1	0	0.000171428571437521	0	0	23.1875185012817
0.0799365079365079	1	0	0.000190476190481052	0	0	23.048589515686
0.0879301587301587	1	0	0.000209523809535218	0	0	22.9229705810547
0.0959238095238095	1	0	0.000228571428580663	0	0	22.8176015853882
0.10391746031746	1	0	0.000247619047605388	0	0	22.6865171432495
0.111911111111111	1	0	0.000266666666665875	0	0	22.603443145752
0.119904761904762	1	0	0.000285714285706399	0	0	22.5117359161377
0.127898412698413	1	0	0.000304761904758026	0	0	22.4545879364014
0.135892063492064	1	0	0.000323809523805938	0	0	22.3696245193481
0.143885714285714	1	0	0.000342857142875042	0	0	22.3171297073364
0.151879365079365	1	0	0.000361904761919808	0	0	22.2419334411621
0.159073015873016	0.995	0.00333333333333333	0.00238787564864354	0.0150000000000062	0.01	22.1863389968872
0.167066666666667	0.995238095238095	0.00333333333333333	0.00238886304895806	0.0142857142857151	0.01	22.1337993621826
0.175060317460317	0.995454545454545	0.00333333333333333	0.00239000185011497	0.013636363636361	0.01	22.0879434585571
0.183053968253968	0.995652173913043	0.00333333333333333	0.00239129183581015	0.013043478260868	0.01	22.0002578735352
0.191047619047619	0.995833333333333	0.00333333333333333	0.00239273276151732	0.0125000000000014	0.01	21.9495819091797
0.19904126984127	0.996	0.00333333333333333	0.0023943243547335	0.0119999999999875	0.01	21.9276113510132
0.207034920634921	0.996153846153846	0.00333333333333333	0.00239606631520096	0.0115384615384587	0.01	21.8914808273315
0.215028571428571	0.996296296296296	0.00333333333333333	0.00239795831523874	0.0111111111111155	0.01	21.7953884124756
0.223022222222222	0.996428571428572	0.00333333333333333	0.00239999999999981	0.0107142857142729	0.01	21.7450595855713
0.231015873015873	0.996551724137931	0.00333333333333333	0.00240219098781442	0.0103448275862146	0.01	21.7146839141846
0.239009523809524	0.996666666666667	0.00333333333333333	0.00240453087055855	0.00999999999999723	0.01	21.6562387466431
0.247003174603175	0.996774193548387	0.00333333333333333	0.00240701921400637	0.00967741935483875	0.01	21.5955270767212
0.254996825396825	0.996875	0.00333333333333333	0.00240965555822484	0.00937500000000758	0.01	21.5492673873901
0.262990476190476	0.996969696969697	0.00333333333333333	0.00241243941800729	0.00909090909093338	0.01	21.5133007049561
0.270984126984127	0.997058823529412	0.00333333333333333	0.00241537028329893	0.00882352941176839	0.01	21.4423154830933
0.278977777777778	0.997142857142857	0.00333333333333333	0.0024184476196275	0.00857142857142577	0.01	21.4059093475342
0.286971428571429	0.997222222222222	0.00333333333333333	0.00242167086862524	0.00833333333333665	0.01	21.3408231735229
0.294965079365079	0.997297297297297	0.00333333333333333	0.00242503944845531	0.00810810810810536	0.01	21.3102056503296
0.30295873015873	0.997368421052631	0.00333333333333333	0.00242855275437355	0.00789473684211236	0.01	21.2629819869995
0.310952380952381	0.997435897435897	0.00333333333333333	0.00243221015919968	0.00769230769231478	0.01	21.2068298339844
0.318946031746032	0.9975	0.00333333333333333	0.0024360110139125	0.00750000000001791	0.01	21.1560319900513
0.326939682539683	0.997560975609756	0.00333333333333333	0.00243995464810945	0.00731707317071506	0.01	21.1338535308838
0.334933333333333	0.997619047619048	0.00333333333333333	0.00244404037064948	0.00714285714285136	0.01	21.0960395812988
0.342126984126984	0.995348837209302	0.00666666666666667	0.00316815217574329	0.0093023255813879	0.0133333333333333	21.0552408218384
0.350120634920635	0.995454545454545	0.00666666666666667	0.00316992671432975	0.00909090909091384	0.0133333333333333	21.0078788757324
0.358114285714286	0.995555555555556	0.00666666666666667	0.00317181464832277	0.00888888888888803	0.0133333333333333	20.9521591186523
0.366107936507936	0.995652173913043	0.00666666666666667	0.00317381577537768	0.00869565217390747	0.0133333333333333	20.9057094573975
0.374101587301587	0.995744680851064	0.00666666666666667	0.00317592988150749	0.00851063829786202	0.0133333333333333	20.8395425796509
0.382095238095238	0.995833333333333	0.00666666666666667	0.00317815674127951	0.00833333333334731	0.0133333333333333	20.7975082397461
0.390088888888889	0.995918367346939	0.00666666666666667	0.00318049611784612	0.00816326530611606	0.0133333333333333	20.724556350708
0.39808253968254	0.996	0.00666666666666667	0.00318294776310689	0.0079999999999818	0.0133333333333333	20.686759185791
0.40607619047619	0.996078431372549	0.00666666666666667	0.00318551141784089	0.00784313725489195	0.0133333333333333	20.6101028442383
0.414069841269841	0.996153846153846	0.00666666666666667	0.00318818681186502	0.00769230769232633	0.0133333333333333	20.5664972305298
0.422063492063492	0.99622641509434	0.00666666666666667	0.00319097366412405	0.00754716981131209	0.0133333333333333	20.5284816741943
